text,label
set alarm for 6 p.m. tonight,set alarm
What is the forecast for Aug. 15?,find
Set Alarm for Monday morning for 5 am,set alarm
dismiss all alarms,cancel alarm
Cancel alarm 2.,cancel alarm
should I bring gloves,find
remind me about doctors appointment on monday,set reminder
How many inches of snow are we talking about,find
cancel retirement party reminder,cancel reminder
how long will the rain last,find
Remind me to buy a birthday gift for Shannon.,set reminder
is it raining in south carolina,find
Is it below 70 in F near Sao Paulo today,find
What is the expected humidity level today?,find
remind me of my doctors appointment at 9am,set reminder
temperature in san diego,find
Tell me the weather in Oklahoma and Alabama right now,find
what are the temperatures tomorrow and the next day in New York city,find
Is rain expected at the shore this weekend?,find
Is there snow in the forecast for today?,find
What is the forecast for next week?,find
Are there any hurricanes near me?,find
what is the humidity,find
How hard is the wind blowing?,find
set alarm for 420am,set alarm
Is it supposed to snow today? ,find
is it going to be humid today,find
Do I need my rain boots?,find
Should I bring a coat,find
remind me to get eggs tomorrow,set reminder
activate all my alarms,set alarm
What's the highest temperature today?,find
Remind me to pick-up my dry cleaning tomorrow at 5,set reminder
Cancel the last alarm I set,cancel alarm
set an alarm for tonight at 7 please,set alarm
How cold does it get in Iceland?,find
remind me to take out trash tonight at 6,set reminder
Please tell me which days will be sunny.,find
remind me to set out trash tonight at 8,set reminder
Change all alarms to only go off Mon-Fri,modify alarm
Please remind me Friday morning to refill my prescription,set reminder
show my reminder,show reminders
Please turn alarm off on weekends.,cancel alarm
change the alarm to 7am,modify alarm
Name alarm weekend alarm.,modify alarm
set alarm every 5 minutes,set alarm
is it suppose to be cold in duck hill on thanksgiving,find
Is it snowing in Chicago?,find
Stormy in Pensacola?,find
Will it rain in New Jersey today?,find
set alarm for 12 midnight fridays for me,set alarm
Set an alarm to remind me about my parents dinner,set alarm
is it going to snow in ohio this weekend,find
What is the high temperature today,find
Current temperature,find
Set an alarm for tomorrow morning at 4:30,set alarm
show me my reminders,show reminders
what's the humidity right now?,find
Set a daily alarm for 7:00 am.,set alarm
Should I bring a sweater?,find
Remind me about dentist appointment,set reminder
"Remind me to buy milk, eggs, and bread at the store tonight",set reminder
How strong is the wind going to be?,find
How hot will it be?,find
Snooze my alarm for 15 minutes.,snooze alarm
What is the current temperature in LA?,find
Show my alarms,show alarms
What's the weather forecast for week 27,find
reminder karate at 5:15 on Thurs,set reminder
Is there going to be any rain this week?,find
Delete my morning alarms.,cancel alarm
Remind me to call Jim,set reminder
Is there snow in the forecast today?,find
will it be chilly tonight,find
can you remind me to mail my sisters card tomorrow,set reminder
What's the high for the week,find
Remind me to check the kiln in 5 hours,set reminder
Cancel my 3:00am alarm,cancel alarm
Turn off all alarms.,cancel alarm
Set a repeating alarm for every Friday at 1pm.,set alarm
i need half moon bay's weather report for Monday,find
Is it raining currently in Seattle?,find
remind me to cancel the netflix free trial in 20 days,set reminder
What is the current temperature in Perth? ,find
Is it going to be sunny today?,find
Remind me to thaw the turkey in the fridge at 9 pm,set reminder
weather report for half moon bay tomorrow,find
"What is the weather like in St. Louis, MO? ",find
"Current temp in Buffalo, NY.",find
Set alarm for 7am every day.,set alarm
Turn 30 mins snooze on the alarm for 9:15 am tomorrow,snooze alarm
Is it safe to go outside in this heat,find
Show me my reminders for this month,show reminders
will it be humid today,find
will it be sunny today?,find
Will it be below 41 in F in Manila next week,find
How cold it is today?,find
Set an alarm for my mattress delivery ,set alarm
whats the temperature in galveston today,find
What's the weather going to be like on the ocean?,find
What is the temperature in Clarkson today,find
Should I bring a jacket,find
go grocery shopping at 9pm remind me,set reminder
What's the chance of rain today?,find
cancel the alarm,cancel alarm
What is the low today?,find
CANCEL ALL ALARMS FOR THE WEEKEND.,cancel alarm
What will the weather be like Saturday?,find
Show my reminders.,show reminders
Should I bring a coat?,find
What's the weather Anaheim Hills,find
Remind me to start running every 2 minutes,set reminder
Should I be expecting rain today?,find
Modify alarm time,modify alarm
I need a new alarm for 8:30 am,set alarm
Set an alarm for 9 am Friday morning,set alarm
How hot is it in Tokyo tomorrow morning in degree Celsius,find
Remind me to fill up the car tomorrow morning before leaving,set reminder
will it rain tomorrow in tucson,find
hey whats the weather in yosemite,find
will there be chances of flooding ?,find
Set the alarm for 24 hours from now,set alarm
Will it get below freezing tonight?,find
Turn on alarm,set alarm
Set an alarm for next friday.,set alarm
Set the alarm for 20 minutes from now,set alarm
what is the temperature right now,find
Cancel my reminders about my dentist appointment,cancel reminder
What's the Miami FL forecast next week ,find
delete last alarm,cancel alarm
Turn on alarm in two hour,set alarm
Remind me to order gravel delivery,set reminder
Set my alarm for me to remember to feed my sons goldfish. ,set alarm
how much humid is today,find
will it be dry and sunny the next few days,find
Is it going to be around 53 in degrees Celsius for Dublin this weekend,find
will the temperatures be very hot this summer?,find
Show me my alarms for this week.,show alarms
Set an alarm for every 20 minutes for the next 60 minutes.,set alarm
Remove reminders from my calendar.,cancel reminder
remind of doctors appointment tuesday at 12 pm,set reminder
How cold is it tonight around Paris degree Celcius,find
How is the weather today?,find
remind me to pick up coffee at target tonight,set reminder
is there going to be a tornado,find
"How many inches of snow should I expect in Westhampton, MA today?",find
What's the temperature downtown,find
Remind me to activate my credit card,set reminder
what time are all my alarms set fot,show alarms
what's next week forecast?,find
Should I wear a sweater?,find
Should I dress warm or cold?,find
How cold is it next week at Shanghai in degrees celcius,find
Is it going to rain tonight,find
give me the highs and lows for the week,find
what is the 7 day forecast for Carmona Sevilla Spain?,find
is it raining by work?,find
is it going to rain next thursday? ,find
please set the reminders for next month,set reminder
Remind me multiple times tomorrow morning to buy coffee for the office,set reminder
"cancel all my alarms, please",cancel alarm
What are the chances of rain this Saturday,find
How much time do I have left on my alarm?,time left on alarm
Is it hot enough to go to the beach?,find
show me all alarms that are set for the upcoming month,show alarms
cancel all alarms,cancel alarm
show all reminders,show reminders
Show my reminders,show reminders
Set an alarm for weekdays at 6:00 am,set alarm
What is the feel like temperature going to be?,find
Set a reminder to take out the trash at 10 pm,set reminder
Will it rain all week?,find
cancel all my alarms for this week,cancel alarm
Is this heat ever going to end?,find
is it raining in columbia,find
Should I bring my umbrella?,find
will it snow in chicago today,find
Show me the extended forecast please,find
remind me to take my medicines,set reminder
set daily reminder to take medicine,set reminder
cancel all reminders,cancel reminder
any chance of rain today,find
what time is my alarm this evening,show alarms
cancel all of my alarms,cancel alarm
remind me to call gina at 7 pm tomorrow,set reminder
What time is sunset tomorrow?,checkSunset
erase my alarm,cancel alarm
What will the low be Friday night,find
What will the weather be tonight at 8 pm?,find
what is todays low,find
what time is sunrise tomorrow,checkSunrise
Set alarm for 7 tomorrow morning,set alarm
Set an alarm for 5:30 tomorrow morning so I can wake up,set alarm
What time is my alarm set for tomorrow,show alarms
How hot is it outside,find
"Cancel 7am alarm for Saturday only, keep active for Sunday",cancel alarm
Set alarm for 5:15 am,set alarm
What's the forecast for the upcoming week?,find
What will the weather be like in Indianapolis 3 hours from now?,find
Should I bring shorts,find
Set an alarm for 9 AM Saturday,set alarm
Set Wednesday's alarm for 6 AM instead of 7,modify alarm
remind me to pick up face wash,set reminder
Will it be cold tonight?,find
Temperature next week around Shanghai C,find
delete alarm for tomorrow,cancel alarm
Set an alarm for every five minutes for the next thirty minutes,set alarm
set alarm for 7 am june 28th only,set alarm
What time did I set the alarm for tomorrow morning?,show alarms
set an alarm for 730,set alarm
Is it cloudy in downtown Portland?,find
When will the rain stop?,find
What will the weather be like in Charlotte next week?,find
Set alarm for 4:00 AM Monday.,set alarm
I don't want to forget to assign family tasks,set reminder
Will today's tornado warning continue until tomorrow?,find
Is it snowing this weekend? ,find
Set alarm for 6 Am daily,set alarm
What is the forecast for my wedding day?,find
When will it snow,find
When will it clear up?,find
Delete all alarms,cancel alarm
snooze alarm for 5 more minutes,snooze alarm
what is the humidity level today,find
will it get below freezing tonight,find
Set up a reminder for my anniversary,set reminder
Is it going to rain at all this week?,find
Schedule a reminder for tomorrow to get gas,set reminder
Should like be bring my umbrella with me?,find
Set alarm for 4:30 am Tuesday.,set alarm
set alarm to go off in 30 minutes,set alarm
set alarm for 8 pm every day for 10 days,set alarm
Silence all reminders for 24 hours,cancel reminder
Give me today's forecast,find
snooze alarm,snooze alarm
show me my reminders,show reminders
Set an alarm for 5am tomorrow,set alarm
 Tell me the 5 day forecast,find
is wednesday to be rainy?,find
cancel off of my alarms,cancel alarm
What time does the sun set tomorrow,checkSunset
Set a reminder for next saturday at 3 pm,set reminder
turn off my alarm,cancel alarm
What is the overnight temperature going to be?,find
What are the rain chances for tomorrow?,find
Is there rain in the forecast this week?,find
set alarm for every half hour,set alarm
Cancel all alarms tomorrow.,cancel alarm
when will the alarm go off,time left on alarm
What's the forecast this week?,find
Show all reminders,show reminders
Set a reminder to call the doctor tomorrow at 9am,set reminder
what is the weather in san diego for today?,find
Set alarm every minute for 10 minutes.,set alarm
Is it cold out?,find
Will it be below 88 degree Fahrenheit near Sao Paulo tonight,find
How should I dress today,find
What are today's reminders?,show reminders
What time is my next alarm set,show alarms
Remove Thursday alarm,cancel alarm
remind me to call mom every day,set reminder
stop reminding me,cancel reminder
how cold will it be,find
what is todays weather forcast,find
I don't want to forget to clean the bathroom,set reminder
do i need to wear a jacket today,find
What time is my alarm tomorrow morning?,show alarms
What is the weather like in New York ,find
should i bring a jacket,find
Find my alarms now,show alarms
cancel my alarms on my birthday,cancel alarm
Set alarms for every Tuesday and Thursday at 8am,set alarm
Turn off all alarms.,cancel alarm
Is it going to snow today?,find
SET MY ALARM FOR 9:00AM SO I CAN MAKE IT TO WORK ON TIME,set alarm
set alarm for 8pm tonight,set alarm
whats the temperature at 7 pm,find
Is it shorts weather today?,find
How cold is it right now,find
What is the current temperate in Ft Smith AR.,find
are we expecting flooding today,find
is it going to snow today?,find
Snooze the alarm,snooze alarm
please set the alarm for 5 am tomorrow,set alarm
Set alarm for 8 am tomorrow.,set alarm
Where does it snow in Hawaii?,find
Weather tomorrow in half moon bay,find
Temperature tonight for Beijing celsius,find
What is the forecast for the rest of the week?,find
What time does the sun set,checkSunset
Are there tornadoes in Oklahoma right now?,find
turn off all reminders for today,cancel reminder
I don't want to forget to clean the bathroom,set reminder
Is it going to storm today?,find
turn off alarm,cancel alarm
List alarms.,show alarms
remind me to cook dinner at 6pm,set reminder
Bring up the heat index for tomorrow,find
Whats the temperature?,find
Should I grab an umbrella today?,find
Should I wear a jacket today?,find
Temperature mumbai tonight fahrenheit,find
Create an alarm for tomorrow at 5 am.,set alarm
remind me to buy toothpaste when I get to target.,set reminder
Is it going to snow later?,find
What's today's lowest temperature ,find
will it snow on saturday,find
Place Madisons dance recital onto my reminders,set reminder
cancel my reminder to buy bread at the grocery store,cancel reminder
Is it supposed to rain a lot next week?,find
when will the alarm go off,time left on alarm
Change my alarm to 6 am from 7 am,modify alarm
set an alarm for nine tomorrow night,set alarm
set an alarm for 6am tomorrow,set alarm
whats the weather going to be like next saturday,find
Cancel the recurring reminder for vitamins,cancel reminder
what is the humidity today,find
I don't want to forget to pack my laptop,set reminder
can you give me the weather?,find
I don't want to forget to pay the bills,set reminder
Will we have hail,find
Set a reminder for Birthday party sunday at 4pm,set reminder
Make an alarm for 5 PM Saturday,set alarm
Set a recurring alarm for Mondays and Fridays at 8 am,set alarm
Will it snow tomorrow? ,find
whats the chance of rain today at 4 pm,find
is it going to rain this weekend,find
Remind me to go grocery shopping,set reminder
Reset my alarms,cancel alarm
Show all alarms for the week,show alarms
How many inches of snow is expected for tonight?,find
Set an alarm for 50 minutes,set alarm
remind me to get gas tonight,set reminder
is there thunder,find
Remind me to buy ice tomorrow morning.,set reminder
Show my reminder for today,show reminders
Are there any hurricanes in the Gulf of Mexico,find
delete all alarms so we can start over,cancel alarm
cancel all my existing alarms,cancel alarm
Is there supposed to be flooding later today?,find
 set alarm every minute for 10 minutes,set alarm
Forecast for the next 5 days,find
Cancel my last reminder,cancel reminder
Please cancel all reminders for today,cancel reminder
Cancel reminder to pick up Anna at the airport,cancel reminder
Set my alarm for 5pm to cook dinner today,set alarm
Set a reminder to pick up prescriptions at Rite Aid for Saturday morning.,set reminder
Do I need an umbrella today?,find
Show me my reminders for today.,show reminders
Is there any fog in the forecast in the morning,find
new alarm for sunday at 10 am,set alarm
Please set my alarm for 4:15 a.m.,set alarm
remind me about the meteor shower on Aug 12,set reminder
Set alarm for 5 am tomorrow,set alarm
Cancel all alarms,cancel alarm
Delete all alarms,cancel alarm
Weather channel forecast.,find
What are my reminders?,show reminders
What is the five day forecast?,find
Remind me to buy a birthday card,set reminder
Delete all reminders for today,cancel reminder
make a reminder alarm for next week on the 8th at 9pm for movie night,set reminder
I would like to create a reminder,set reminder
I wonder how cold it is going to be tonight,find
Is it going to rain in Plano tomorrow?,find
Should I wear sun screen tomorrow?,find
how much rain did we receive last night,find
show me my weekend alarms,show alarms
I want to be reminded to finish my report,set reminder
What time is it supposed to rain this evening?,find
How much time until 7 am alarm?,time left on alarm
Tuesday weather forecast for half moon bay,find
What's today's low temperature?,find
Do I need to wear long sleeves?,find
what percentage of rain is it today,find
should i carry an umbrella today,find
Set alarm every 3 hours,set alarm
Add an alarm for Mondays at 4pm,set alarm
What is the weather right now? ,find
set alarm for 5am,set alarm
Reminder to go grocery shopping,set reminder
Set alarm every minute for 1 hour.,set alarm
Is there a thunder storm warning for tonight?,find
Cancel alarm number 1,cancel alarm
repeat the alarm,modify alarm
Set alarm for 15 minutes,set alarm
Will it be below 92 in degree F near Paris tomorrow,find
Should I wear shorts,find
What is the temperature in New York City ,find
remind me on sunday night to book airline tickets,set reminder
how high will the temp go today,find
Remind me about my lunch date Thursday at 1 pm,set reminder
"hi bot, tell me the weather for today",find
Remind me in 10 minutes,set reminder
Is it cold in Niagara Falls,find
is thursday to be sunny,find
"Cancel my reminder ""Duty free shop for Kenzo"" set for O'hare Airport",cancel reminder
set alarm for mid day tomorrow,set alarm
What will the weather be in Las Vegas,find
Delete all alarms.,cancel alarm
What time is my alarm set for tomorrow morning?,show alarms
cancel all alarms,cancel alarm
Is it supposed to be windy in Chicago today?,find
what is the temperature outside,find
cancel alarm for tomorrow,cancel alarm
show all reminders for today,show reminders
remind me to take out the garbage at 8 am tomorrow morning,set reminder
Set a reminder for Tuesday and Thursday for trash,set reminder
set an alarm for every 30 seconds for 5 minutes,set alarm
Whats the rain forecast for sunday,find
set alarm for every 15 minutes,set alarm
Whats next week weather forecast ,find
how much time is left on my alarm for 7:30?,time left on alarm
cancel all alarms,cancel alarm
Delete all of my reminders for tomorrow.,cancel reminder
delete all my alarms please,cancel alarm
Set alarm for 2 minutes with a 30 second pause,set alarm
when will the storm stop,find
I want to be reminded to finish my report,set reminder
How many inches of rain should we expect for the next couple days?,find
Please tell me the forecast for this week.,find
show my reminders,show reminders
is there a storm coming ,find
clean all reminders,cancel reminder
Tell me what the weather will be like next weekend in Austin,find
Turn off my alarm.,cancel alarm
Change my 5 am alarm to Sunday's only,modify alarm
give me your most recent weather report for half moon bay,find
Give me this week's forecast.,find
what will the weather be like on thursday,find
Remind me to watch Twin Peaks at 7.,set reminder
when is the sun setting tonight,checkSunset
Remove my payday reminders for last month,cancel reminder
when will it snow,find
Remind me to pick up batteries tonight,set reminder
is it going to be windy today,find
What is the lowest temperature it will be tonight?,find
weather alerts,find
Give my alarms,show alarms
Is it going to snow in Seattle?,find
is it hot today?,find
Remind me to get laundry detergent at the store.,set reminder
reschedule my alarm to 6:00 am,modify alarm
will it snow next week,find
what time is sunset,checkSunset
What can I expect from the weather today? ,find
How high is the temperature today? ,find
Show all my reminders.,show reminders
what is the heat index for this week?,find
give me the weather in half moon bay tomorrow,find
How many inches of snow should I expect?,find
Is it supposed to rain tomorrow?,find
How much snow are we going to get this weekend,find
Should I expect rain today?,find
Remind me to pay electric monday,set reminder
Should I grab an umbrella,find
delete the alarm,cancel alarm
Delete saved alarms,cancel alarm
remind me to call the doctor,set reminder
What is the temperature,find
Cancel only my afternoon reminder.,cancel reminder
Will it hail today?,find
set alarm for 30 minutes,set alarm
When is the next alarm,show alarms
How warm is it outside tomorrow morning in degrees celsius,find
Cancel all reminders for this week,cancel reminder
Remind me tonight at 7 is the new walking dead,set reminder
what's the weather going to be like in kauai for our trip,find
Set the alarm for 7am.,set alarm
Set alarm to remind me to place gravel order,set alarm
what's the forecast today,find
Is it around 51 in degree Celsius near Dublin next week,find
i need to set my alarm for 7 am in the morning,set alarm
what is the weather in florida,find
Is it going to rain today?,find
Will it be windy today?,find
What is my next upcoming reminder?,show reminders
will it rain on my way home?,find
Remind me to pick up tickets to my concert tonight at 5pm,set reminder
Is it going to snow?,find
Remind me to watch Game of Thrones every Sunday morning and night,set reminder
remind me to do homework tonight,set reminder
is there a tornado nearby?,find
Will it rain all day tomorrow in New York?,find
What is the high for today?,find
how many alarms do I have set?,show alarms
Please set alarm for 6 am today,set alarm
Remind me to buy some strawberries at the store,set reminder
Remind me to call Mom in 2 hours,set reminder
is there a chance for flood next week,find
make this alarm repeat daily,set alarm
Remind me to buy my mom a gift tomorrow.,set reminder
Temperature next week near San Francisco F,find
Delete the reminder to wash the dogs today.,cancel reminder
set alarm for nightlies meeting,set alarm
What is the high temperature going to be tomorrow,find
Show all alarms at midnight,show alarms
Show all my reminders for tomorrow,show reminders
Is there going to be rain in the next 10 days?,find
How cold is it next week in Boston degree F,find
Should I bring a rain coat?,find
Does today's weather call for a jacket?,find
Bring umbrella today or no?,find
Cancel my second flight reminder.,cancel reminder
How much time is left until my alarm ends?,time left on alarm
Set alarm for 10pm tomorrow.,set alarm
Clear all my reminders,cancel reminder
set my alarm for 7am,set alarm
is tomorrow to be sunny,find
will the temperature reach above 70 degrees today,find
Whats the temperature in Punta Cana today?,find
remind me to buy cheese when I'm at the store,set reminder
what areas are the flood warning for CT,find
Remind me to Call Chet on my drive into work,set reminder
Do I need rain boots today?,find
What's the high temperature today?,find
set alarm for november,set alarm
what is the temperature in london right now,find
Snooze for ten minutes,snooze alarm
delete all the alarms set for april,cancel alarm
what will the temperature in phoenix be tomorrow,find
set alarm every Saturday at 6 am,set alarm
show all alarms for the coming week,show alarms
is it going to be windy,find
delete my alarms please,cancel alarm
What is the 3 day forecast?,find
I need to know the weather for next Friday? ,find
Is it going to be around 50 in F near London tomorrow,find
How cold will it get today?,find
Would you please provide details for today's weather?,find
Remind me to buy cat food tomorrow,set reminder
Show all reminders,show reminders
Georgia Weather,find
Is it going to rain tomorrow?,find
Stop alarm,cancel alarm
set a new alarm for next saturday only to get me up at 6:30 am,set alarm
Change my alarm from 4 to 4:30.,modify alarm
Is it rainy on Wednesday,find
cancel my reminder to buy bread at the bakery,cancel reminder
remind me to go to bed early,set reminder
set alarm for evening work out at 9,set alarm
Cancel all my reminders,cancel reminder
Remind me to pick up bread later,set reminder
remind me of my car service this weekend,set reminder
what is the high temperature,find
what is todays average temperature ,find
how many alarms do i have set,show alarms
Cancel my alarms for this weekend.,cancel alarm
What is the current weather in Florida?,find
Is it cold outside?,find
remind to get up at 7am,set reminder
remind me at 5pm tomorrow,set reminder
how much time is left on alarm,time left on alarm
set alarm for 7 am,set alarm
Temperature for Houston tonight F,find
snooze my alarm,snooze alarm
"Reset my alarm for tomorrow, 6 AM",set alarm
what is the weather today?,find
Is there a flood warning,find
Remind my to go lift in an hour,set reminder
Can I ride with the convertible top down tomorrow? What is the forecast?,find
what is the temperature going to be Friday,find
Remind me to change my alarm from 7 am to 6 am for next Monday,set reminder
Is it sunny outside?,find
what's the forecast for today,find
set alarm for 5:45am,set alarm
Alarm in one hour,set alarm
whats the temp tonight,find
remind me to cancel my doctors appointment before monday,set reminder
Set alarm for 5am.,set alarm
Set alarm for 6 tomorrow morning,set alarm
add alarm for 8:55 PM tonight,set alarm
stop all reminders and alarms,cancel reminder
Dr appt at 10 remind me,set reminder
i want to be reminded to finish reviewing candidates,set reminder
remind me to pick the child up at 9,set reminder
set alarm in 15 minutes ,set alarm
Is it around 64 in degrees celcius dublin tomorrow morning,find
Any hurricanes out in the Gulf of Mexico?,find
Remind me to pay bills on the 22nd,set reminder
Cancel all alarms for tomorrow morning,cancel alarm
Set alarm for 6 am every day,set alarm
No alarm needed today,cancel alarm
What will be the temperature?,find
Tell me what the high is going to be today.,find
What is the weather for next Friday in Idaho Falls,find
Remind me that I'm fishing with dad on Saturday,set reminder
should I pack an umbrella,find
should I bring a rain coat tomorrow?,find
Turn alarms off.,cancel alarm
Set reminder for August 29th for dentist appointment,set reminder
What is the snow forecast for this week,find
whats the weekend forecast,find
Set alarm for 5 hours from now,set alarm
reminder keys phone wallet 8am,set reminder
remind me to pick up my RX on the way home,set reminder
what is the 10 day forecast?,find
did it snow last night,find
Are storms moving in,find
Temperature next week around Paris C,find
Do you think it will rain today?,find
When will it rain this week?,find
Temperature at Manila celcius,find
Cancel reminds for today.,cancel reminder
show me the temperature for tomorrow,find
is it going to rain this weekend?,find
Will it be hot in Oregon today?,find
does texas have any tornado warnings?,find
set alarm for twenty min from now,set alarm
What is the hottest day this week?,find
remind me to pick up john,set reminder
remind me to leave for the volleyball game at 3 pm,set reminder
Set a repeated reminder to go to bed,set reminder
set an alarm for 830,set alarm
Cancel my alarms for tonight,cancel alarm
Remove all reminders,cancel reminder
what is the temperature today?,find
Should we expect hail in this storm?,find
How much longer left on my 1PM alarm,time left on alarm
set alarm for 2 hours from now,set alarm
time remaining for alarm,time left on alarm
set my alarm for 7am on weekdays,set alarm
Set an alarm for all weekday mornings at 6:30am,set alarm
Set my alarm for six a.m. every weekday morning.,set alarm
How cold is Maine right now,find
is it going to snow tonight?,find
Are there any tornadoes in the forecast for Oklahoma this week?,find
Remind me to take a nap before class,set reminder
cancel all alarms scheduled for thursday,cancel alarm
My alarms now please,show alarms
Remind me tomorrow to take out the trash,set reminder
Will I need a rainjacket ?,find
Temperature in San Francisco Celsius,find
remind me to pay my car payment,set reminder
How many inches did it rain last night,find
Remind me to call Janet on Thursday,set reminder
Set alarm for 12pm,set alarm
How hot will heat index be tomorrow,find
Temperature today C,find
Remind me to set the table at 6 pm.,set reminder
what is the most recent alarm?,show alarms
Remind me of the work deadline for the project a week before it is due,set reminder
What is the weather in Chicago?,find
Set alarm for 5:30 tomorrow morning,set alarm
Put a reminder to give baby shower at 6 pm,set reminder
let's create an alarm,set alarm
Remind me to buy eggs tomorrow.,set reminder
What are the chances of snow today? ,find
what is the weather in clearwater,find
Show me the reminder for the house tour,set reminder
Snow precipitation this week,find
show church alarm,show alarms
please show all alarms,show alarms
delete my alarm for 3 Pm,cancel alarm
delete reminder to pick up milk,cancel reminder
When does the sunrise tomorrow?,checkSunrise
Is it going to be below 64 in degree celsius madrid next week,find
I need a pretty alarm to get me to leave the house by 6:50 am,set alarm
Set a reminder for my meeting tomorrow at 5 p.m. with,set reminder
Set alarm for 9 AM,set alarm
What is the 10 day forecast?,find
What is the low temperature for the day,find
Do I have any reminders?,show reminders
Cancel the reminder for my English paper due tomorrow,cancel reminder
Remind me tomorrow to call Andrea,set reminder
Please set an alarm for 10 am,set alarm
